Quarter,HPI@Assessment Prices,HPI@Market Prices for Under Construction Properties
Jun 2013,83,85
Sep 2013,85,86
Dec 2013,86,87
Mar 2014,88,88
Jun 2014,89,90
Sep 2014,90,91
Dec 2014,90,92
Mar 2015,89,94
Jun 2015,89,94
Sep 2015,90,95
Dec 2015,91,96
Mar 2016,93,96
Jun 2016,95,97
Sep 2016,97,97
Dec 2016,98,97
Mar 2017,100,97
Jun 2017,99,98
Sep 2017,98,98
Dec 2017,99,99
Mar 2018,100,100
Jun 2018,101,101
Sep 2018,103,102
Dec 2018,105,103
Mar 2019,106,103
Jun 2019,107,104
Sep 2019,109,104
Dec 2019,110,104
Mar 2020,111,104
Jun 2020,112,104
Sep 2020,112,104
Dec 2020,112,105
Mar 2021,114,105
Jun 2021,114,106
Sep 2021,115,107
Dec 2021,117,108
Mar 2022,120,110
Jun 2022,122,112
Sep 2022,123.46,116.12
Dec 2022,125.28,119.71
Mar 2023,126.91,122.87
Jun 2023,127.81,125.69
Sep 2023,129.49,128.56
Dec 2023,131.21,131.99
Mar 2024,133.32,135.37
Jun 2024,136.2,139.08
Sep 2024,138.33,142.95
Dec 2024,140.61,
Mar 2025,143.29,
